ticker,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ABEO,,,,38770113.0,28775822.0,5802904.0,6368413.0,6703022.0,92727378.0,165870000.0,656190000.0,471276000.0
ABEOW,,,,38770113.0,28775822.0,5802904.0,6368413.0,6703022.0,92727378.0,165870000.0,656190000.0,471276000.0
ABG,,,379337000.0,613536000.0,702856000.0,1008945000.0,1671314000.0,2285192000.0,1780416000.0,1394420000.0,1344000000.0,1248142500.0
ABIO,,,,26965034.0,10038246.0,5069616.0,14497525.0,19549985.0,29245268.0,25935000.0,14040000.0,9235500.0
ABM,,775814360.0,873269020.0,1163572487.0,955659695.0,972014683.0,1457914081.0,1520955639.0,1543260149.0,2238490451.0,2152875238.0,2085798000.0
ABMD,,,,354368750.0,743786900.0,549225600.0,1115753240.0,1632165040.0,4057995720.0,5044683600.0,8596309290.0,17272746280.0
ABR,,,29695883.0,90441190.0,51812157.0,101201372.0,189607291.0,244157357.0,284573607.0,328357353.0,645293809.0,1057697972.0
ABRpA,,,29695883.0,90441190.0,51812157.0,101201372.0,189607291.0,244157357.0,284573607.0,328357353.0,645293809.0,1057697972.0
ABRpB,,,29695883.0,90441190.0,51812157.0,101201372.0,189607291.0,244157357.0,284573607.0,328357353.0,645293809.0,1057697972.0
ABRpC,,,29695883.0,90441190.0,51812157.0,101201372.0,189607291.0,244157357.0,284573607.0,328357353.0,645293809.0,1057697972.0
ABT,34383497882.0,33103147634.0,33897262683.0,30578935818.0,36788879812.0,44217891553.0,54102708468.0,63027585018.0,63335872607.0,54687399438.0,98037748720.0,122535166500.0
ABTX,,,,,,,,,247615500.0,465358950.0,494156250.0,529081900.0
ABUS,,,,,,,,,202307342.0,130032282.0,276352524.0,233292219.0
AC,,,,,,,,,756296351.0,817500427.0,813750596.0,960935800.0
ACAD,,,49468320.0,46464000.0,56357640.0,256289400.0,2142017850.0,3087624000.0,3597085000.0,3345440000.0,3691486000.0,2661945000.0
ACBI,,,,,,,,,220206000.0,478546920.0,454468696.0,415270412.0
ACC,,508454865.0,974197583.0,1408309887.0,2274364430.0,3148541054.0,2815057828.0,3774074685.0,4233041679.0,6017119692.0,5391051493.0,5474851485.0
ACCO,,,391150785.0,480454149.0,547981783.0,695401738.0,766511997.0,1033048782.0,777429437.0,1404913140.0,1333852175.0,1109160000.0
ACER,,,,25095386.0,20955221.0,6581439.0,24264877.0,20031137.0,16213866.0,23805000.0,51245000.0,199120000.0
ACET,,,,197856027.0,165452431.0,251994115.0,664219516.0,598492315.0,761497931.0,636438776.0,358352225.0,76418720.0
ACGL,,4541712545.0,4430886295.0,4624537358.0,5148525605.0,6086154445.0,8104540053.0,7973909230.0,8791202324.0,10761872471.0,12640782240.0,11401869258.0
ACGLO,,4541712545.0,4430886295.0,4624537358.0,5148525605.0,6086154445.0,8104540053.0,7973909230.0,8791202324.0,10761872471.0,12640782240.0,11401869258.0
ACHC,,,34780481.0,51401243.0,187007290.0,903551600.0,2378853130.0,3386565670.0,4271701860.0,2845673200.0,2840767800.0,3117323880.0
ACHN,,,82530070.0,187077850.0,489569760.0,592459650.0,311929577.0,1204995750.0,1366014000.0,564571000.0,398304000.0,427034000.0
ACHV,,,128485418.0,118048861.0,114222452.0,177418126.0,122459464.0,41446250.0,31638286.0,,6447840.0,3495000.0
ACIA,,,,,,,,,,1826873750.0,1510428700.0,1541138145.0
ACIW,,553240500.0,592601100.0,910086900.0,979344800.0,1743464013.0,2601170000.0,2355271070.0,2544866600.0,2157073050.0,2707795480.0,2997892860.0
ACLS,,,146056260.0,361646120.0,145100340.0,148514220.0,265640360.0,285306880.0,313172440.0,450278850.0,959613200.0,585838920.0
ACM,,3202526950.0,3016915000.0,3331646550.0,2357136870.0,2511804400.0,2872073700.0,4309260040.0,4613178570.0,5744625480.0,6012616050.0,5057970870.0
ACMR,,,,,,,,,,,36043298.0,191978571.0
ACN,,22163949144.0,26865255605.0,30703339797.0,33782780659.0,42331209970.0,52213753571.0,56813646942.0,66812980294.0,75528867178.0,99636855411.0,104087950134.0
ACNB,,,53461954.0,68656690.0,63785978.0,78699780.0,92154372.0,115932728.0,118484307.0,180024761.0,189384742.0,256012274.0
ACOR,,696088480.0,950922000.0,1045557300.0,955125760.0,1002653520.0,1217114400.0,1738773280.0,1866106380.0,850869200.0,986678550.0,859530210.0
ACRE,,,,,,67594165.0,168176501.0,239903375.0,260462977.0,339103026.0,345745435.0,396649749.0
ACRS,,,,,,,,,164334000.0,581222994.0,693004839.0,415914000.0
ACRX,,,,,33301876.0,94250954.0,449534928.0,298289059.0,171203494.0,117814107.0,94939158.0,228718000.0
ACTG,,,245976034.0,821368039.0,1323098485.0,1102030092.0,644098403.0,781487428.0,212379955.0,325493006.0,205302649.0,154191000.0
ACU,,,,25400344.0,25195744.0,30426878.0,42749860.0,64674645.0,60705151.0,88738046.0,84837708.0,74871840.0
ACV,,,,,,,,,1885480160.0,,,
ACY,,,,28678798.0,9491031.0,22023275.0,27265278.0,13441768.0,19612420.0,14805306.0,22091538.0,20542136.0
ADAP,,,,,,,,,1788926480.0,1705455000.0,3603860000.0,6719706000.0
ADBE,25585655750.0,11678693370.0,19515835800.0,16184862720.0,14245846670.0,18942527280.0,30746429404.0,36966496000.0,47642986160.0,51917582050.0,87816794520.0,119108717520.0
ADC,,,112200122.0,157305959.0,165428682.0,223568065.0,302696031.0,390988800.0,547364106.0,983428380.0,1381042903.0,1631673269.0
ADES,,,,,,144425713.0,470404796.0,434235159.0,176623052.0,177292691.0,192466857.0,208614350.0
ADI,7828205541.0,4331228370.0,7318039324.0,9381440397.0,9222028667.0,11107977935.0,14203764382.0,16127957675.0,16441677436.0,21867263473.0,30747698534.0,31739455825.0
ADM,,14702694915.0,16264922260.0,15926386302.0,16015989282.0,15698999407.0,25295136772.0,30615618214.0,20947979120.0,25597076091.0,22427197308.0,28092015000.0
ADMA,,,,,,,50942026.0,103789663.0,84027301.0,61952000.0,73509000.0,225235000.0
ADMP,,,,,15620555.0,70131806.0,43076108.0,64733653.0,72558088.0,55125000.0,124960000.0,92795000.0
ADMS,,,,,,,,297148590.0,512592000.0,366730000.0,762525000.0,491940000.0
ADNT,,,,,,,,,,5368606094.0,7237411510.0,2977786000.0
ADOM,,,,,,,,,,,292160000.0,35407600.0
ADP,,14072291680.0,15227543320.0,16685293305.0,19858530008.0,21304604554.0,30761161535.0,36782529130.0,36694564343.0,44604045329.0,51214286376.0,62598393000.0
ADRO,,,,,,,,,1255044000.0,742140000.0,546750000.0,505254000.0
ADS,,3361547508.0,3656610290.0,3882106042.0,5888639841.0,9109410301.0,17247966759.0,17511323167.0,16903846388.0,13237680860.0,14062929106.0,11751448000.0
ADSK,,4755300000.0,5917989000.0,8877680000.0,6997131000.0,8126965000.0,11457636300.0,13903890000.0,13727529000.0,16452423000.0,23020668000.0,29722680000.0
ADSW,,,,,,,,,,1543463372.0,2127974219.0,2315294373.0
ADT,,,,,,,,,,,,5710946000.0
ADTN,,814658221.0,1236273389.0,2027918383.0,1746956229.0,1120495034.0,1465978174.0,1122583433.0,837089536.0,1057722357.0,926330553.0,824872440.0
ADUS,,,24904400.0,43484600.0,38384640.0,77084032.0,248633750.0,269736780.0,260479920.0,397782450.0,404480400.0,747924840.0
ADVM,,,,,,,,,,104980000.0,152250000.0,316008000.0
ADXS,,,,18111457.0,38624000.0,9750000.0,21251325.0,137023682.0,281680000.0,253464000.0,114736000.0,39636030.0
ADXSW,,,,18111457.0,38624000.0,9750000.0,21251325.0,137023682.0,281680000.0,253464000.0,114736000.0,39636030.0
AE,,,78203376.0,88240472.0,107999689.0,132589953.0,261796695.0,193778863.0,155370110.0,160420897.0,188543061.0,171326724.0
AEE,6783369761.0,4495066893.0,4219306888.0,4910824909.0,6146372799.0,6013255958.0,7460653564.0,9898132671.0,9632249202.0,12094283424.0,14070402988.0,15775444000.0
AEGN,,,843691182.0,1034960633.0,603815197.0,870352534.0,846982284.0,700694266.0,705866178.0,822720307.0,843028633.0,744052415.0
AEHR,,,,10275600.0,4669600.0,7905000.0,36583.0,29896200.0,24530240.0,38629890.0,62013.0,47708500.0
AEIS,,,632847280.0,592235160.0,471626420.0,544719678.0,929647620.0,972505800.0,1159603710.0,2191697250.0,2711076480.0,1868865570.0
AEL,,,406643527.0,758574586.0,625991763.0,768518922.0,1911662840.0,2268566186.0,1908120552.0,1913512377.0,2775257276.0,3018326943.0
AEMD,,,,,,,,,51716843.0,33600000.0,17176000.0,21984100.0
AEO,,,2420176953.0,2236109072.0,2259331753.0,3434828381.0,2402178094.0,2414734039.0,2811545383.0,2651171556.0,3305019011.0,3878021125.0
AEP,11767475832.0,8857091395.0,11114558942.0,12618950026.0,15333129717.0,16682373205.0,19121690944.0,25926591242.0,25938324794.0,29093039470.0,35249740870.0,35231328018.0
AERI,,,,,,,89005450.0,703089343.0,628230000.0,1101435000.0,2109175000.0,2223987000.0
AES,10810476123.0,4105570475.0,7437127122.0,9183138053.0,8218601951.0,6793463441.0,9181201513.0,8562041722.0,5865685588.0,7119323029.0,6927565346.0,9923480000.0
AET,27630581661.0,12312014710.0,12720747118.0,11552675896.0,14481041299.0,14752389755.0,23162888636.0,30369682075.0,36665354853.0,42675513746.0,59609206766.0,65566556000.0
AETI,,,,17263755.0,39677395.0,41624060.0,94535610.0,45246648.0,17307329.0,12873934.0,12788468.0,6087226.0
AEY,,,20038752.0,31827942.0,21387930.0,20303572.0,26926063.0,24508870.0,18225142.0,17938169.0,15032213.0,13707173.0
AFG,,2000275013.0,2235813808.0,2792989969.0,3029887999.0,3103007698.0,4460972175.0,4836734587.0,5810301271.0,7235146650.0,9487120337.0,9245504500.0
AFH,,,,,,,159577577.0,185094716.0,253440012.0,220623038.0,247933284.0,112829391.0
AFI,,,,,,,,,,554798860.0,458768525.0,455234575.0
AFL,23625115061.0,17057707594.0,17451182310.0,21984760905.0,17167456596.0,21691949418.0,27849834655.0,25358757030.0,24325099826.0,27683776016.0,34424703878.0,34293510630.0
AFSI,,,581700501.0,884882621.0,1242475720.0,1712251254.0,2248578139.0,4024244080.0,4748436704.0,4486757540.0,1847118725.0,2830437500.0
AFSIpA,,,581700501.0,884882621.0,1242475720.0,1712251254.0,2248578139.0,4024244080.0,4748436704.0,4486757540.0,1847118725.0,2830437500.0
AFSIpB,,,581700501.0,884882621.0,1242475720.0,1712251254.0,2248578139.0,4024244080.0,4748436704.0,4486757540.0,1847118725.0,2830437500.0
AFSIpC,,,581700501.0,884882621.0,1242475720.0,1712251254.0,2248578139.0,4024244080.0,4748436704.0,4486757540.0,1847118725.0,2830437500.0
AFSIpD,,,581700501.0,884882621.0,1242475720.0,1712251254.0,2248578139.0,4024244080.0,4748436704.0,4486757540.0,1847118725.0,2830437500.0
AFSIpE,,,581700501.0,884882621.0,1242475720.0,1712251254.0,2248578139.0,4024244080.0,4748436704.0,4486757540.0,1847118725.0,2830437500.0
AFSIpF,,,581700501.0,884882621.0,1242475720.0,1712251254.0,2248578139.0,4024244080.0,4748436704.0,4486757540.0,1847118725.0,2830437500.0
AGCO,,2188822305.0,2890131743.0,4637994405.0,4003338951.0,4599633984.0,5627257614.0,4108598124.0,3851716381.0,4654221279.0,5688309222.0,4500824000.0
AGEN,,,50570972.0,97616619.0,39797264.0,96878502.0,78581044.0,237221601.0,354120000.0,357616000.0,322088000.0,197583000.0
AGFS,,,,,,,,,,131074843.0,371415642.0,287221375.0
AGFSW,,,,,,,,,,131074843.0,371415642.0,287221375.0
AGIO,,,,,,,369198183.0,3772053369.0,2428008000.0,1631643000.0,2664122000.0,3833007000.0
AGLE,,,,,,,,,,42630000.0,81691000.0,194750000.0
AGM,,,60131732.0,143521787.0,162294191.0,301443322.0,332853685.0,303095754.0,323052553.0,575305470.0,812220716.0,746912640.0
AGM.A,,,60131732.0,143521787.0,162294191.0,301443322.0,332853685.0,303095754.0,323052553.0,575305470.0,812220716.0,746912640.0
AGMpA,,,60131732.0,143521787.0,162294191.0,301443322.0,332853685.0,303095754.0,323052553.0,575305470.0,812220716.0,746912640.0
AGMpB,,,60131732.0,143521787.0,162294191.0,301443322.0,332853685.0,303095754.0,323052553.0,575305470.0,812220716.0,746912640.0
AGMpC,,,60131732.0,143521787.0,162294191.0,301443322.0,332853685.0,303095754.0,323052553.0,575305470.0,812220716.0,746912640.0
AGN,8386260000.0,8130420000.0,12120660000.0,15908200000.0,7432819113.0,10752791070.0,23295171622.0,55107055222.0,111998828277.0,78766150075.0,53904396068.0,62485957000.0
AGNC,,,132523621.0,365088519.0,1818892092.0,4330555759.0,4196660915.0,4972981694.0,4421430382.0,4975405824.0,6651515679.0,7261184000.0
AGNCB,,,132523621.0,365088519.0,1818892092.0,4330555759.0,4196660915.0,4972981694.0,4421430382.0,4975405824.0,6651515679.0,7261184000.0
AGNCN,,,132523621.0,365088519.0,1818892092.0,4330555759.0,4196660915.0,4972981694.0,4421430382.0,4975405824.0,6651515679.0,7261184000.0
AGO,,863781992.0,2366664298.0,2830491556.0,2124242690.0,2436281779.0,4056850203.0,4209943932.0,3738907461.0,4888744966.0,4032209125.0,4518265000.0
AGR,,,,,,,,,8793611903.0,11017179993.0,15257829980.0,14448418594.0
AGRX,,,,,,,,69965122.0,214720000.0,160740000.0,83659000.0,36740000.0
AGTC,,,,,,,,345190440.0,372544800.0,171974550.0,65138400.0,122208750.0
AGX,,,,,178073238.0,224502528.0,362433521.0,465997641.0,466112461.0,1070116355.0,701344124.0,663986645.0
AGYS,,,,127390010.0,176076600.0,183303000.0,308372300.0,284534000.0,238761000.0,224812000.0,297176000.0,339388000.0
AHC,,,53491866.0,83500056.0,48821008.0,54285645.0,91016967.0,178353221.0,88135620.0,119635309.0,99054958.0,81880000.0
AHH,,,,,,,224451917.0,267921222.0,234247641.0,437578990.0,631870017.0,669859880.0
AHL,,2310062593.0,1818060776.0,1958843099.0,1637418303.0,2114570941.0,2613801307.0,2677475478.0,2860765994.0,3275466248.0,2381368083.0,2494276391.0
AHLpC,,2310062593.0,1818060776.0,1958843099.0,1637418303.0,2114570941.0,2613801307.0,2677475478.0,2860765994.0,3275466248.0,2381368083.0,2494276391.0
AHLpD,,2310062593.0,1818060776.0,1958843099.0,1637418303.0,2114570941.0,2613801307.0,2677475478.0,2860765994.0,3275466248.0,2381368083.0,2494276391.0
AHPI,,,,34686175.0,27624436.0,21304560.0,18301895.0,14769950.0,8974269.0,8033094.0,8388292.0,8267886.0
AHT,,,130500780.0,202413449.0,211298160.0,313703507.0,430461080.0,702386378.0,590872020.0,646346584.0,608009945.0,533645000.0
AHTpD,,,130500780.0,202413449.0,211298160.0,313703507.0,430461080.0,702386378.0,590872020.0,646346584.0,608009945.0,533645000.0
AHTpF,,,130500780.0,202413449.0,211298160.0,313703507.0,430461080.0,702386378.0,590872020.0,646346584.0,608009945.0,533645000.0
AHTpG,,,130500780.0,202413449.0,211298160.0,313703507.0,430461080.0,702386378.0,590872020.0,646346584.0,608009945.0,533645000.0
AHTpH,,,130500780.0,202413449.0,211298160.0,313703507.0,430461080.0,702386378.0,590872020.0,646346584.0,608009945.0,533645000.0
AHTpI,,,130500780.0,202413449.0,211298160.0,313703507.0,430461080.0,702386378.0,590872020.0,646346584.0,608009945.0,533645000.0
AI,,,33527536.0,57968439.0,57507477.0,86428110.0,198686283.0,287356387.0,190210189.0,255006672.0,271055336.0,240631300.0
AIG,114159478834.0,3179374732.0,3118808104.0,6052850191.0,38243187909.0,54559753266.0,69551320696.0,75266833773.0,77825470785.0,68575532806.0,54473778711.0,45260349112.0
AIG.WS,114159478834.0,3179374732.0,3118808104.0,6052850191.0,38243187909.0,54559753266.0,69551320696.0,75266833773.0,77825470785.0,68575532806.0,54473778711.0,45260349112.0
AIMC,,,288304698.0,474164923.0,452182456.0,535424096.0,844881594.0,725984046.0,624400274.0,929567155.0,1447801071.0,1137379900.0
AIMT,,,,,,,,,352395000.0,875260000.0,1902346000.0,1538282000.0
AIN,,,480362436.0,563934443.0,605088658.0,633636536.0,1057088661.0,1143621369.0,1126197745.0,1455396370.0,1962285087.0,2263950950.0
AINC,,,,,,,,186214000.0,117309750.0,95294051.0,192231000.0,171006120.0
AIpB,,,33527536.0,57968439.0,57507477.0,86428110.0,198686283.0,287356387.0,190210189.0,255006672.0,271055336.0,240631300.0
AIPT,,,,,,,,15281307.0,11409626.0,7905366.0,6426619.0,10571856.0
AIQ,,,297805050.0,223787200.0,66943800.0,67781120.0,263085160.0,227447640.0,99593820.0,105206400.0,,
AIR,,,823399459.0,961708065.0,723619199.0,711277957.0,1030351537.0,1036367776.0,881528476.0,1098848653.0,1329044496.0,1535894000.0
AIRG,,,,,,,,,,67212043.0,93148743.0,120753447.0
AIRI,,,,,8956331.0,29610695.0,47278760.0,69334352.0,60947517.0,23875170.0,22360010.0,35233238.0
AIRT,,,,,19557078.0,20107894.0,29225581.0,60887642.0,58654566.0,47095651.0,50440955.0,86681728.0
AIT,,,771153090.0,1189753636.0,1298333006.0,1578893445.0,1880200255.0,1743667840.0,1511362737.0,2265529784.0,2636851492.0,2788593920.0
AIV,,768518013.0,1414596318.0,2363123523.0,2196961755.0,3013195488.0,3226615426.0,4792164006.0,5675338162.0,6691471632.0,6663750779.0,6717157390.0
AIVpA,,768518013.0,1414596318.0,2363123523.0,2196961755.0,3013195488.0,3226615426.0,4792164006.0,5675338162.0,6691471632.0,6663750779.0,6717157390.0
AIZ,,2909947546.0,2914240958.0,3649366983.0,3478671519.0,2623282401.0,4670881620.0,4609965148.0,5216239564.0,5530586141.0,5481202224.0,5903960465.0
AIZP,,2909947546.0,2914240958.0,3649366983.0,3478671519.0,2623282401.0,4670881620.0,4609965148.0,5216239564.0,5530586141.0,5481202224.0,5903960465.0
AJG,,1698026312.0,1669337395.0,2360182826.0,3025561806.0,3527778394.0,5260771498.0,6455083948.0,6531605906.0,8831823698.0,11196989049.0,13021536000.0
AJRD,,,465500000.0,302962000.0,312284000.0,539850000.0,1475838000.0,1059570000.0,956826000.0,1179315000.0,2277600000.0,2425354500.0
AKAM,6404252400.0,2817076650.0,4780593720.0,8970082500.0,6054307680.0,7435351590.0,8576521940.0,11407470560.0,9495241450.0,11750016200.0,11233123440.0,11018171115.0
AKAO,,,,,,,,185441779.0,104169440.0,308665960.0,425794120.0,173171338.0
AKBA,,,,,,,,179330333.0,342380000.0,392457000.0,646845000.0,495296000.0
AKER,,,,,,,,18935279.0,6220513.0,10260000.0,1259600.0,38454460.0
AKR,,,461234754.0,562634298.0,644699372.0,945390320.0,1154560332.0,,2094335503.0,2365275782.0,2234697737.0,2216397081.0
AKRX,,,161552870.0,602447500.0,1155501440.0,1476413600.0,2804168760.0,3967085600.0,4692180220.0,2746235830.0,4021981700.0,787084960.0
AKS,4840543538.0,878364698.0,2227182188.0,1739589904.0,895319127.0,519800000.0,1113560000.0,879714000.0,396928000.0,2654600000.0,1778938000.0,1480663500.0
AKTS,,,,,,,,,,,127715000.0,120593000.0
AKTX,,,,,,,,,12355283685.0,8290961416.0,5099412348.0,2060963420.0
AL,,,,,2072524161.0,2237688672.0,3286017821.0,3681493681.0,3624645101.0,3748331495.0,5333708323.0,4726329427.0
ALB,,1780286188.0,2935809888.0,4566286968.0,4239560304.0,5090110981.0,4945627187.0,4476590490.0,6018465268.0,9543487942.0,14226028269.0,10680806680.0
ALBO,,,103060235.0,44216218.0,24013568.0,33313734.0,48469455.0,31169673.0,21783583.0,37830661.0,199680000.0,338520000.0
ALCO,,,197379846.0,165906252.0,135407919.0,257749803.0,273229428.0,358421854.0,314111028.0,222903067.0,245301047.0,273859600.0
ALDR,,,,,,,,856039779.0,1337715000.0,1006720000.0,668680000.0,926840000.0
ALDX,,,,,,,,27801419.0,58537822.0,60455000.0,108800000.0,239946000.0
ALE,,630569947.0,743004018.0,949009212.0,1155389220.0,1253667402.0,1678232249.0,2090346998.0,2251076663.0,3014630085.0,3707283996.0,3872285000.0
ALEX,,,,,,1095798434.0,1638574402.0,1685149570.0,1067327089.0,1359051498.0,1470220000.0,1474920000.0
ALG,,,161060608.0,306570504.0,304435074.0,377698721.0,721286147.0,570773006.0,589154807.0,872119553.0,1312686791.0,1000926080.0
ALGN,,595560000.0,1231255080.0,1525683200.0,1904975150.0,2304360000.0,4719135460.0,4600442530.0,5368157850.0,7833056920.0,18182252080.0,26148117450.0
ALGT,,,827624151.0,849488521.0,895271161.0,1275738639.0,1850115442.0,2505419655.0,2708664642.0,2653612268.0,2456670521.0,1953421950.0
ALIM,,,,230102522.0,39203218.0,49395528.0,148423899.0,223800621.0,107569523.0,56916000.0,88711000.0,65359330.0
ALJJ,,,,,,,,,,156775680.0,118367550.0,61469941.0
ALK,,987494859.0,1160695461.0,1937185989.0,2560711210.0,2873375256.0,4863100644.0,7720445216.0,9947436389.0,10708901287.0,8967191044.0,7732404240.0
ALKS,,,,1164622920.0,1659789600.0,2546444440.0,5855527920.0,8507245440.0,11859372000.0,8392580000.0,8390109000.0,6493680000.0
ALL,23911925418.0,14362393351.0,13449177247.0,14706587921.0,12556948405.0,17779015967.0,23502393429.0,28736233876.0,24018956905.0,27113018556.0,37959479745.0,33259707000.0
ALLE,,,,,,,4095426627.0,5176082393.0,6179783179.0,6037275075.0,7510299433.0,8056212000.0
ALLpA,23911925418.0,14362393351.0,13449177247.0,14706587921.0,12556948405.0,17779015967.0,23502393429.0,28736233876.0,24018956905.0,27113018556.0,37959479745.0,33259707000.0
ALLpD,23911925418.0,14362393351.0,13449177247.0,14706587921.0,12556948405.0,17779015967.0,23502393429.0,28736233876.0,24018956905.0,27113018556.0,37959479745.0,33259707000.0
ALLpE,23911925418.0,14362393351.0,13449177247.0,14706587921.0,12556948405.0,17779015967.0,23502393429.0,28736233876.0,24018956905.0,27113018556.0,37959479745.0,33259707000.0
ALLpF,23911925418.0,14362393351.0,13449177247.0,14706587921.0,12556948405.0,17779015967.0,23502393429.0,28736233876.0,24018956905.0,27113018556.0,37959479745.0,33259707000.0
ALLpG,23911925418.0,14362393351.0,13449177247.0,14706587921.0,12556948405.0,17779015967.0,23502393429.0,28736233876.0,24018956905.0,27113018556.0,37959479745.0,33259707000.0
ALLY,,,,,,,,14238055812.0,,8855458181.0,13034140623.0,11316903840.0
ALNA,,,,,,,,,,,45270000.0,229896000.0
ALNY,,1015834210.0,733573460.0,414514400.0,345641500.0,917719500.0,3957729300.0,7204966000.0,7917174000.0,3204864000.0,11510730000.0,8122294000.0
ALOT,,,,,48385380.0,67159076.0,95121528.0,121908815.0,102596170.0,104881890.0,93417163.0,144766464.0
ALPN,,,,,,,,,61920000.0,21504000.0,72800000.0,69791900.0
ALQA,,,,24961362.0,12428703.0,11777489.0,51769444.0,77533599.0,49352532.0,16520000.0,7783000.0,10120000.0
ALRM,,,,,,,,,402127478.0,1332375777.0,1855561537.0,2220191882.0
ALRN,,,,,,,,,,,77996000.0,35076000.0
ALSK,,,276060579.0,424067095.0,128488960.0,89003320.0,125306840.0,88307860.0,89894000.0,85588320.0,139981760.0,85951360.0
ALSN,,,,,,3350782836.0,4675116470.0,5687371712.0,4338142936.0,5510374038.0,6350992636.0,6638360000.0
ALT,,,,35213366.0,15487871.0,13944656.0,24277606.0,26831716.0,31323765.0,57778699.0,25472000.0,3832136.0
ALTR,,,,,,,,,3167937640.0,,1254986720.0,2534191230.0
ALV,,887731224.0,2126696457.0,4276330420.0,3019179755.0,3984596099.0,5612667821.0,6386510040.0,7322705725.0,6784777472.0,7725898182.0,7088577000.0
ALX,,,836121347.0,1158014332.0,1070111481.0,1354212712.0,1400430383.0,1921910102.0,1741986292.0,2017006421.0,1947712738.0,1681164000.0
ALXN,,3255905730.0,4422213240.0,7494130350.0,13714129000.0,18607483740.0,26538529408.0,37376060000.0,41182925000.0,27687805000.0,26955586000.0,27390930000.0
AM,,,,,,,,1807344980.0,3220063995.0,5053977488.0,5196058366.0,6243308940.0
AMAG,,609199050.0,650655270.0,376588600.0,400683990.0,314676320.0,526948840.0,1075089500.0,1065948520.0,1195240800.0,462517750.0,794416000.0
AMAT,20447443279.0,11405448504.0,15536856984.0,16205057889.0,12480986509.0,13203964097.0,19985533250.0,28998560006.0,22091209238.0,35322346017.0,54842409272.0,33878550000.0
AMBA,,,,,,105588493.0,1028738745.0,1642441719.0,1889541519.0,1872897567.0,2018584964.0,1137755956.0
AMBC,,,,,,,1105260491.0,1104785948.0,636495207.0,1017279315.0,724979553.0,861582474.0
AMBCW,,,,,,,1105260491.0,1104785948.0,636495207.0,1017279315.0,724979553.0,861582474.0
AMBR,,,,,,,,210774827.0,133358000.0,243344000.0,202584000.0,249912000.0
AMC,,,,,,,1244351704.0,2074999063.0,1963088515.0,2852381947.0,1735426353.0,2452570225.0
AMCX,,,,,2658070980.0,3575682000.0,4951801330.0,4645899580.0,5465829200.0,3789939400.0,3549000000.0,3455926530.0
